Value,Type
46.17.102.83,IP
89.248.165.24,IP
45.135.232.161,IP
185.156.73.110,IP
101.68.211.3,IP
185.156.73.12,IP
160.116.22.21,IP
46.17.96.38,IP
183.136.225.42,IP
79.124.62.82,IP
192.241.226.55,IP
94.232.40.81,IP
94.232.44.20,IP
192.241.225.196,IP
94.102.61.41,IP
94.232.40.89,IP
45.155.205.41,IP
147.78.47.22,IP
78.128.113.34,IP
92.63.197.110,IP
192.241.223.189,IP
45.143.203.3,IP
137.184.168.166,IP
138.68.137.139,IP
